#songs,#MHfuncs,#LSHfuncs,band,mMH,mLSH,pMH,TP,TN,FP,FN,LSH_Accuracy,LSH_Precision,LSH_Recall,LSH_F1,MH_Accuracy,MH_Precision,MH_Recall,MH_F1,threshold
1000,600,3,50,20117,20117,338563,2,499417,0,81,0.999837838,1,0.024096386,0.047058824,0.999953954,0.915662651,0.826086957,0.868571429,0.722
1000,600,3,50,20117,20117,338563,2,499405,0,93,0.999813814,1,0.021052632,0.041237113,0.99994995,0.852631579,0.880434783,0.86631016,0.722
1000,600,3,50,20117,20117,338563,2,499404,0,94,0.999811812,1,0.020833333,0.040816327,0.999943944,0.833333333,0.869565217,0.85106383,0.722
1000,600,3,100,20117,20117,338563,410,490975,20,8095,0.983753754,0.953488372,0.048206937,0.091773923,0.995367367,0.874074074,0.856747724,0.865324176,0.464
1000,600,3,100,20117,20117,338563,384,491323,40,7753,0.984398398,0.905660377,0.04719184,0.089709146,0.995355355,0.89062308,0.835196496,0.862019745,0.464
1000,600,3,100,20117,20117,338563,360,490962,28,8150,0.983627628,0.927835052,0.042303173,0.08091706,0.99582983,0.887426557,0.870346894,0.878803747,0.464
1000,600,3,100,20117,20117,338563,257,492274,5,6964,0.986048048,0.980916031,0.035590638,0.068689028,0.994882883,0.923833264,0.768814106,0.83922506,0.464
1000,600,3,150,20117,20117,338563,7305,414838,201,77156,0.845131131,0.973221423,0.086489622,0.158861331,0.967069069,0.901374599,0.903632047,0.902501912,0.286
1000,600,3,150,20117,20117,338563,6876,412213,163,80248,0.839017017,0.976843302,0.078921996,0.146044625,0.969965966,0.897410587,0.928023739,0.912460467,0.286
1000,600,3,150,20117,20117,338563,5997,415719,125,77659,0.844276276,0.979581836,0.07168643,0.133596204,0.971399399,0.918164866,0.911691395,0.91491668,0.286
1000,600,3,150,20117,20117,338563,5597,415560,82,78261,0.843157157,0.985560838,0.066743781,0.125020941,0.969665666,0.911994085,0.907750742,0.909867466,0.286
1000,600,3,150,20117,20117,338563,5476,414977,86,78961,0.841747748,0.984537936,0.064853086,0.121690241,0.974772773,0.924274903,0.926326409,0.925299519,0.286
1000,600,3,200,20117,20117,338563,215822,198418,69278,15982,0.829309309,0.75700456,0.931053821,0.835056413,0.962694695,0.96894359,0.951554821,0.960170484,0.171
1000,600,3,200,20117,20117,338563,214828,207283,60180,17209,0.845067067,0.781170002,0.925835104,0.847372521,0.951513514,0.956437982,0.94021776,0.948258513,0.171
1000,600,3,200,20117,20117,338563,214071,212172,53011,20246,0.853339339,0.801517886,0.913595684,0.853894802,0.958764765,0.9597255,0.952719878,0.956209858,0.171
1000,600,3,200,20117,20117,338563,211060,199329,74007,15104,0.8215996,0.740387348,0.933216604,0.825693278,0.951571572,0.968354822,0.927838502,0.947663802,0.171
1000,600,3,200,20117,20117,338563,210973,213657,56876,17994,0.85011011,0.787656478,0.921412256,0.849300345,0.961123123,0.973039783,0.943882393,0.958239338,0.171
1000,600,3,300,20117,20117,338563,414812,54879,23441,6368,0.940322322,0.946512631,0.984880574,0.965315505,0.973285285,0.984270383,0.98405076,0.98416056,0.058
1000,600,3,300,20117,20117,338563,405582,64249,14979,14690,0.940602603,0.964383288,0.965046446,0.964714753,0.972284284,0.984721799,0.982379639,0.983549325,0.058
1000,600,3,300,20117,20117,338563,407770,63025,16722,11983,0.942532533,0.960607031,0.971452259,0.965999206,0.974392392,0.986575438,0.983013431,0.984791214,0.058
1000,600,3,300,20117,20117,338563,410799,57234,22665,8802,0.937003003,0.947711921,0.979022929,0.96311301,0.976890891,0.988238827,0.984314247,0.986272633,0.058
1000,600,3,300,20117,20117,338563,412007,56392,22381,8720,0.937735736,0.948476938,0.979273971,0.963629453,0.975777778,0.986271383,0.984990766,0.985630658,0.058
1000,600,5,30,20117,20117,338563,2,499492,0,6,0.999987988,1,0.25,0.4,0.999993994,0.625,1,0.769230769,0.844
1000,600,5,30,20117,20117,338563,2,499494,0,4,0.999991992,1,0.333333333,0.5,0.999997998,0.833333333,1,0.909090909,0.844
1000,600,5,30,20117,20117,338563,2,499493,0,5,0.99998999,1,0.285714286,0.444444444,0.999995996,0.714285714,1,0.833333333,0.844
1000,600,5,30,20117,20117,338563,2,499495,0,3,0.999993994,1,0.4,0.571428571,0.999995996,0.8,0.8,0.8,0.844
1000,600,5,30,20117,20117,338563,2,499496,0,2,0.999995996,1,0.5,0.666666667,0.999997998,1,0.8,0.888888889,0.844
1000,600,5,30,20117,20117,338563,3,499495,0,2,0.999995996,1,0.6,0.75,1,1,1,1,0.844
1000,600,5,50,20117,20117,338563,3,499412,0,85,0.99982983,1,0.034090909,0.065934066,0.999947948,0.875,0.836956522,0.855555556,0.722
1000,600,5,50,20117,20117,338563,2,499405,0,93,0.999813814,1,0.021052632,0.041237113,0.999945946,0.842105263,0.869565217,0.855614973,0.722
1000,600,5,50,20117,20117,338563,2,499410,0,88,0.999823824,1,0.022222222,0.043478261,0.999943944,0.855555556,0.836956522,0.846153846,0.722
1000,600,5,50,20117,20117,338563,2,499399,0,99,0.999801802,1,0.01980198,0.038834951,0.99992993,0.782178218,0.858695652,0.81865285,0.722
1000,600,5,100,20117,20117,338563,612,491131,62,7695,0.98447047,0.908011869,0.073672806,0.136287719,0.994022022,0.842542434,0.80661519,0.824187471,0.464
1000,600,5,100,20117,20117,338563,549,491269,40,7642,0.984620621,0.932088285,0.067024783,0.125056948,0.99443043,0.859846173,0.811686067,0.835072326,0.464
1000,600,5,100,20117,20117,338563,449,491860,34,7157,0.985603604,0.929606625,0.059032343,0.111014959,0.995449449,0.920983434,0.807306673,0.860406559,0.464
1000,600,5,100,20117,20117,338563,618,490194,46,8642,0.982606607,0.930722892,0.066738661,0.124546554,0.995009009,0.833909287,0.889938919,0.861013547,0.464
1000,600,5,100,20117,20117,338563,590,490020,51,8839,0.982202202,0.920436817,0.062572913,0.117179742,0.994750751,0.82108389,0.892243863,0.855186126,0.464
1000,600,5,150,20117,20117,338563,61111,381050,30247,27092,0.885207207,0.668917883,0.692844915,0.680671193,0.966476476,0.88266839,0.924083086,0.90290108,0.286
1000,600,5,150,20117,20117,338563,59856,382116,31591,25937,0.884828829,0.654543069,0.697679298,0.675423155,0.970744745,0.905843134,0.922433234,0.914062913,0.286
1000,600,5,150,20117,20117,338563,57496,385698,27877,28429,0.887275275,0.673468193,0.669141693,0.671297972,0.973419419,0.91299389,0.931145401,0.921980314,0.286
1000,600,5,150,20117,20117,338563,55243,389485,24720,30052,0.890346346,0.690857021,0.647669852,0.668566726,0.970760761,0.90825957,0.919525223,0.913857678,0.286
1000,600,5,200,20117,20117,338563,213770,215226,47028,23476,0.858850851,0.819676531,0.901047857,0.85843821,0.952888889,0.947864242,0.952707168,0.950279535,0.171
1000,600,5,200,20117,20117,338563,211882,215781,51285,20552,0.856182182,0.805123743,0.911579201,0.855050736,0.95632032,0.960823287,0.946144721,0.953427511,0.171
1000,600,5,200,20117,20117,338563,211834,215624,50660,21382,0.855771772,0.807005112,0.908316754,0.854669061,0.959935936,0.963150041,0.951626843,0.957353769,0.171
1000,600,5,200,20117,20117,338563,211153,216234,50185,21928,0.85562963,0.80796899,0.905921118,0.854145977,0.954456456,0.957546947,0.945543128,0.95150718,0.171
1000,600,5,200,20117,20117,338563,211121,216258,52691,19430,0.855613614,0.800270647,0.915723636,0.854113273,0.952914915,0.960898023,0.938552788,0.94959397,0.171
1000,600,5,200,20117,20117,338563,206260,219431,50859,22950,0.852234234,0.802196648,0.899873478,0.848232369,0.9564004,0.967392348,0.939400102,0.953190758,0.171
1000,600,5,200,20117,20117,338563,206017,218378,57120,17985,0.84963964,0.782926764,0.919710538,0.845824292,0.945213213,0.96578602,0.916531096,0.940514127,0.171
1000,600,5,300,20117,20117,338563,404921,64166,16714,13699,0.939113113,0.960359078,0.967275811,0.963805035,0.975491491,0.988548087,0.982320295,0.985424351,0.058
1000,600,5,300,20117,20117,338563,408201,60966,19705,10628,0.939273273,0.953950167,0.974624489,0.964176513,0.977335335,0.98940379,0.983661465,0.986524271,0.058
1000,600,5,300,20117,20117,338563,410429,60825,17734,10512,0.943451451,0.958581195,0.975027379,0.966734346,0.974112112,0.985035908,0.984257277,0.984646438,0.058
1000,600,5,300,20117,20117,338563,410503,59499,20949,8549,0.940944945,0.951445352,0.979599191,0.965317036,0.976876877,0.988870116,0.983654344,0.986255334,0.058
1000,600,5,300,20117,20117,338563,411136,59804,17503,11057,0.942822823,0.959166105,0.973810556,0.966432856,0.976138138,0.984796053,0.986944364,0.985869038,0.058
1000,200,1,10,20117,20117,338563,0,499497,0,3,0.999993994,,0,,0.999997998,0.666666667,1,0.8,0.891
1000,200,1,20,20117,20117,338563,2,499410,0,88,0.999823824,1,0.022222222,0.043478261,0.999931932,0.666666667,0.9375,0.779220779,0.741
1000,200,1,20,20117,20117,338563,2,499415,0,83,0.999833834,1,0.023529412,0.045977011,0.999921922,0.647058824,0.859375,0.738255034,0.741
1000,200,1,20,20117,20117,338563,2,499425,0,73,0.999853854,1,0.026666667,0.051948052,0.999945946,0.746666667,0.875,0.805755396,0.741
1000,200,1,20,20117,20117,338563,2,499417,0,81,0.999837838,1,0.024096386,0.047058824,0.99992993,0.674698795,0.875,0.761904762,0.741
1000,200,1,20,20117,20117,338563,2,499435,0,63,0.999873874,1,0.030769231,0.059701493,0.99994995,0.8,0.8125,0.80620155,0.741
1000,200,1,50,20117,20117,338563,22,467026,0,32452,0.935031031,1,0.000677465,0.001354013,0.973605606,0.745303935,0.831261162,0.785939276,0.376
1000,200,1,50,20117,20117,338563,23,467944,0,31533,0.936870871,1,0.000728863,0.001456664,0.979015015,0.795252884,0.861897239,0.827234968,0.376
1000,200,1,50,20117,20117,338563,30,467601,0,31869,0.936198198,1,0.000940468,0.001879169,0.980338338,0.802438948,0.879138618,0.83903958,0.376
1000,200,1,50,20117,20117,338563,33,469250,0,30217,0.939505506,1,0.001090909,0.002179441,0.979691692,0.813586777,0.845274076,0.829127784,0.376
1000,200,1,50,20117,20117,338563,72,467112,0,32316,0.935303303,1,0.002223046,0.004436229,0.97551952,0.760713845,0.846201401,0.801183663,0.376
1000,200,1,100,20117,20117,338563,60751,148266,49,290434,0.418452452,0.999194079,0.172988596,0.294918504,0.943713714,0.97128579,0.949792834,0.96041908,0.1
1000,200,1,100,20117,20117,338563,66766,148917,81,283736,0.431797798,0.998788278,0.190486788,0.319952845,0.939387387,0.969121432,0.945833287,0.957335753,0.1
1000,200,1,100,20117,20117,338563,67979,149577,106,281838,0.435547548,0.998443123,0.19432732,0.325334648,0.942256256,0.972088263,0.946874687,0.959315832,0.1
1000,200,1,100,20117,20117,338563,69518,140693,84,289205,0.420842843,0.998793138,0.193792982,0.324603981,0.942916917,0.960827714,0.959733468,0.960280279,0.1
1000,200,3,10,20117,20117,338563,2,499497,0,1,0.999997998,1,0.666666667,0.8,0.999997998,0.666666667,1,0.8,0.891
1000,200,3,10,20117,20117,338563,2,499498,0,0,1,1,1,1,1,1,1,1,0.891
1000,200,3,20,20117,20117,338563,2,499422,0,76,0.999847848,1,0.025641026,0.05,0.99993994,0.717948718,0.875,0.788732394,0.741
1000,200,3,20,20117,20117,338563,2,499414,0,84,0.999831832,1,0.023255814,0.045454545,0.999923924,0.651162791,0.875,0.746666667,0.741
1000,200,3,20,20117,20117,338563,2,499427,0,71,0.999857858,1,0.02739726,0.053333333,0.999933934,0.712328767,0.8125,0.759124088,0.741
1000,200,3,20,20117,20117,338563,2,499430,0,68,0.999863864,1,0.028571429,0.055555556,0.999935936,0.728571429,0.796875,0.76119403,0.741
1000,200,3,20,20117,20117,338563,2,499436,0,62,0.999875876,1,0.03125,0.060606061,0.999935936,0.75,0.75,0.75,0.741
1000,200,3,50,20117,20117,338563,2073,471174,291,25962,0.947441441,0.876903553,0.073943285,0.136386065,0.976574575,0.8105939,0.780498695,0.795261675,0.376
1000,200,3,50,20117,20117,338563,2259,466171,147,30923,0.937797798,0.938902743,0.068079079,0.126952905,0.978018018,0.773280694,0.881268031,0.823750361,0.376
1000,200,3,50,20117,20117,338563,2548,465806,180,30966,0.937645646,0.934017595,0.076027929,0.140610342,0.971991992,0.725666885,0.835279571,0.776624621,0.376
1000,200,3,50,20117,20117,338563,2806,464953,223,31518,0.936454454,0.926378343,0.081750379,0.150242283,0.972840841,0.726517888,0.856470669,0.786160151,0.376
1000,200,3,50,20117,20117,338563,3011,464395,302,31792,0.935747748,0.908843948,0.08651553,0.157991395,0.975517518,0.742608396,0.887656271,0.808679735,0.376
